method_family,method,amount,log10_rescale_left,log10_rescale_right,rescale_left,rescale_right,bin_width_log10,count
L-NP,V-NP rescale,0.8,0.0,0.2,1.0,1.5848931924611136,0.2,375141
L-NP,V-NP rescale,0.8,0.2,0.4,1.5848931924611136,2.51188643150958,0.2,1234263
L-NP,V-NP rescale,0.8,0.4,0.6000000000000001,2.51188643150958,3.981071705534973,0.2,3732810
L-NP,V-NP rescale,0.8,0.6000000000000001,0.8,3.981071705534973,6.309573444801933,0.2,4269381
L-NP,V-NP rescale,0.8,0.8,1.0,6.309573444801933,10.0,0.2,3247251
L-NP,V-NP rescale,0.8,1.0,1.2,10.0,15.848931924611133,0.2,2173725
L-NP,V-NP rescale,0.8,1.2000000000000002,1.4000000000000001,15.848931924611142,25.11886431509581,0.2,1402077
L-NP,V-NP rescale,0.8,1.4000000000000001,1.6,25.11886431509581,39.810717055349734,0.2,885567
L-NP,V-NP rescale,0.8,1.6,1.8,39.810717055349734,63.09573444801933,0.2,558252
L-NP,V-NP rescale,0.8,1.8,2.0,63.09573444801933,100.0,0.2,352590
L-NP,V-NP rescale,0.8,2.0,2.2,100.0,158.48931924611142,0.2,223743
L-NP,V-NP rescale,0.8,2.2,2.4000000000000004,158.48931924611142,251.18864315095823,0.2,141432
L-NP,V-NP rescale,0.8,2.4000000000000004,2.6000000000000005,251.18864315095823,398.1071705534977,0.2,89346
L-NP,V-NP rescale,0.8,2.6,2.8000000000000003,398.1071705534973,630.9573444801937,0.2,56121
L-NP,V-NP rescale,0.8,2.8000000000000003,3.0000000000000004,630.9573444801937,1000.000000000001,0.2,35640
L-NP,V-NP rescale,0.8,3.0,3.2,1000.0,1584.893192461114,0.2,21966
L-NP,V-NP rescale,0.8,3.2,3.4000000000000004,1584.893192461114,2511.886431509582,0.2,14127
L-NP,V-NP rescale,0.8,3.4000000000000004,3.6000000000000005,2511.886431509582,3981.0717055349774,0.2,8613
L-NP,V-NP rescale,0.8,3.6,3.8000000000000003,3981.0717055349733,6309.573444801937,0.2,5631
L-NP,V-NP rescale,0.8,3.8000000000000003,4.0,6309.573444801937,10000.0,0.2,3654
L-NP,V-NP rescale,0.8,4.0,4.2,10000.0,15848.93192461114,0.2,2289
