method_family,method,amount,task,source_model_label,pruning_seed,score_batch_seed,positive_prob_count,rescale_min,rescale_mean,rescale_std,rescale_q50,rescale_q75,rescale_q90,rescale_q95,rescale_q99,rescale_q999,rescale_max,frac_rescale_gt10,frac_rescale_gt20,score_sum,score_max,scale_factor,capped_probs,sigma_used,adaptive_shift,adaptive_attempt
S-NP,S-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,100000,261632,1.0,198.15834959989263,76836.44330589997,6.144612916233507,12.830720174308565,32.36129715652756,64.63773439615088,325.6430214624653,3235.656771440266,39251735.97675131,0.3184663955479452,0.16124556629158512,51898.42430438047,1.0,0.0016643813820698108,1432,0.4171620296045162,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,261632,1.0,200.35863683653687,78025.3610054035,6.142762936272469,12.83357496479254,32.36655971385064,64.66172223867052,323.9575296957748,3257.0359627069047,39861565.94340707,0.318577238258317,0.16122645547945205,51900.27904971761,1.0,0.0016638311575235113,1425,0.41699431016352495,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,2,100002,261632,1.0,199.0751861678866,77308.54046448586,6.143183512166581,12.830881031659901,32.34598842556373,64.55771897066138,324.24262885363066,3233.0472690467745,39493191.778384715,0.31856194960861056,0.16120734466731898,51902.87157621937,1.0,0.0016656964885748944,1422,0.41721258589386473,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,261632,1.0,38.58317722837322,1493.7561999041657,6.059647843031742,12.685827384143089,31.9201137746719,64.77960489782939,314.82171766510237,3089.1879267580625,591535.1620489279,0.3152748899217221,0.15968994618395305,52155.27395614127,1.0,0.0015840283692510602,730,0.3824322682986727,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,100001,261632,1.0,38.59196081818383,1487.7249571999241,6.060590544007589,12.685594150487615,31.923350250847214,64.7303114931641,313.98365934769595,3084.52639241802,587005.9859998397,0.31545835371819964,0.15972434564579258,52156.0555632752,1.0,0.0015826736531689514,724,0.38239023720059895,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,2,100002,261632,1.0,38.612902360755946,1497.9276866051846,6.059992080048439,12.683377268628934,31.922506785221838,64.76784714083546,314.27523442698526,3081.821373656882,594862.1215946524,0.3151946245107632,0.15975110078277888,52156.460802155954,1.0,0.0015839651744631745,726,0.38229930404970713,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,0,100000,261632,1.0,147.26378479401941,55773.930621221785,5.945812487462121,12.411883995314898,31.208274558940417,62.1963324391176,306.85839905035954,3148.5432139572,28515127.881146282,0.30742416829745595,0.15567667563600782,52235.8448811039,1.0,0.0017736799647543617,460,0.5322636445430098,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,1,100001,261632,1.0,145.9448279055044,55083.86859430936,5.946419341359254,12.409525173320288,31.190316189583665,62.24114339840033,306.65333346659037,3135.8738934317703,28161893.882800225,0.3074700342465753,0.15563463184931506,52236.63302126771,1.0,0.0017714592626923101,462,0.5324400116855396,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,2,100002,261632,1.0,146.1747018428738,55210.525414080126,5.945288265999619,12.403379720661421,31.22039455663521,62.25463949513328,306.33713182725523,3112.286257254899,28226662.306253124,0.30739359099804303,0.15563080968688844,52237.50731790231,1.0,0.001773304025977928,463,0.5326850169185822,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm2intseq,ctxdlydm2intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,100000,261632,1.0,47.68183833598616,3066.3852150217044,6.0405384856503925,12.669689814524213,32.28079188732682,65.00609715635893,324.03986359839473,3391.182837750559,949221.5299578329,0.3153016450587084,0.15956763698630136,52132.93310837612,1.0,0.0015519264003407036,738,0.3458394574072657,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm2intseq,ctxdlydm2intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,261632,1.0,47.56207576512436,3035.797392463752,6.040786173334043,12.67799737073085,32.25625195350249,64.96811398991511,324.7460295707587,3395.5638777086765,944693.9312229704,0.31529017857142855,0.15958292563600782,52131.774437756685,1.0,0.0015513223871785435,743,0.3457206497061612,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm2intseq,ctxdlydm2intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,2,100002,261632,1.0,47.70987414916906,3068.3034966815558,6.039844932366263,12.676489470793326,32.24843016713322,64.90257678925144,324.9017132629346,3407.288573808272,945384.2238708038,0.31507231531311153,0.1594988380626223,52135.92528025428,1.0,0.0015530575355409818,735,0.34575694283657077,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm2intseq,ctxdlydm2intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,261632,1.0,857.0122448497152,418770.1959329878,6.0700594532697405,12.731652218139477,31.753244480131226,63.11747399836799,311.9103707645945,2917.726545736505,214199349.45318526,0.3157679488747554,0.15959821428571427,52145.322335366785,1.0,0.0015868057459155014,745,0.34864885576377014,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm2intseq,ctxdlydm2intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,100001,261632,1.0,858.4819599220123,419467.3132639199,6.077443310447363,12.744243319298754,31.75130024238229,63.12523744673607,312.8869387431454,2923.679682577615,214555862.17398137,0.31588261374755383,0.15964408023483365,52144.85910393128,1.0,0.0015816710371687336,754,0.3487599604976314,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm2intseq,ctxdlydm2intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,2,100002,261632,1.0,862.9225841217337,421764.43963571417,6.072756408546285,12.74087162879391,31.747990346416227,63.19831247458821,312.6075558381306,2913.8187797900355,215730896.14940915,0.31580234833659493,0.15962496942270057,52145.69347371598,1.0,0.0015850960792558259,743,0.3484919936256979,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm2intseq,ctxdlydm2intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,0,100000,261632,1.0,46.61124253572655,3231.6507471738405,5.942768696751715,12.281804741521878,31.0860695318857,62.2677981625689,302.2807904213528,2883.705467501089,1234343.1736869744,0.30577681629158515,0.15509188478473582,52220.15378115268,1.0,0.001697794701033213,495,0.41226491509155977,nan,-1
S-NP,S-NP rescale,0.8,modcog:ctxdlydm2intseq,ctxdlydm2intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,1,100001,261632,1.0,46.64575233743791,3240.012469355983,5.9407601119167115,12.286499375240847,31.06176538191312,62.26257907298941,302.79280964795345,2897.0002294987407,1242354.5353891726,0.30590676981409004,0.15499633072407046,52220.602821449334,1.0,0.001698324822004468,487,0.4121723982885666,nan,-1
