family,method,cap_percentile,cap_quantile,pruning_pct,n,n_trained_networks,raw_run_count,pruning_seed_replicates_per_network_min,pruning_seed_replicates_per_network_max,post_rec_ct_abscissa_mean,post_rec_ct_abscissa_sd,post_rec_ct_abscissa_sem,abs_post_rec_ct_abscissa_mean,abs_post_rec_ct_abscissa_sd,abs_post_rec_ct_abscissa_sem,raw_post_rec_ct_abscissa_mean,raw_abs_post_rec_ct_abscissa_mean
L-NP,L-NP capped rescale,10,0.1,50,24,24,72,3,3,1.0274147387180064,0.6818825268396618,0.13918868793973557,1.0274147387180064,0.6818825268396618,0.13918868793973557,1.0274147387180064,1.0274147387180064
L-NP,L-NP capped rescale,10,0.1,60,24,24,72,3,3,1.0375344833980005,0.6767677683864398,0.13814464224240383,1.0375344833980005,0.6767677683864398,0.13814464224240383,1.0375344833980005,1.0375344833980005
L-NP,L-NP capped rescale,10,0.1,70,24,24,72,3,3,1.1160817941029866,0.6228791131305101,0.12714466655058895,1.1160817941029866,0.6228791131305101,0.12714466655058895,1.1160817941029866,1.1160817941029866
L-NP,L-NP capped rescale,10,0.1,80,24,24,72,3,3,1.3729208252496188,0.48659133967239127,0.09932504128788731,1.3729208252496188,0.48659133967239127,0.09932504128788731,1.372920825249619,1.372920825249619
L-NP,L-NP capped rescale,20,0.2,50,24,24,72,3,3,1.0378235868281787,0.7086972715661456,0.1446622247866415,1.0378235868281787,0.7086972715661456,0.1446622247866415,1.0378235868281789,1.0378235868281789
L-NP,L-NP capped rescale,20,0.2,60,24,24,72,3,3,1.069053025709258,0.6880070264665697,0.14043884619105143,1.069053025709258,0.6880070264665697,0.14043884619105143,1.069053025709258,1.069053025709258
L-NP,L-NP capped rescale,20,0.2,70,24,24,72,3,3,1.2194308630294268,0.6024921638103571,0.122983197946726,1.2194308630294268,0.6024921638103571,0.122983197946726,1.219430863029427,1.219430863029427
L-NP,L-NP capped rescale,20,0.2,80,24,24,72,3,3,1.5941652970181572,0.4312562106855884,0.0880298053821575,1.5941652970181572,0.4312562106855884,0.0880298053821575,1.594165297018157,1.594165297018157
L-NP,L-NP capped rescale,30,0.3,50,24,24,72,3,3,1.069975432422426,0.7231609728341447,0.14761461544486185,1.069975432422426,0.7231609728341447,0.14761461544486185,1.069975432422426,1.069975432422426
L-NP,L-NP capped rescale,30,0.3,60,24,24,72,3,3,1.1216972983545725,0.691805321274807,0.14121416987212174,1.1216972983545725,0.691805321274807,0.14121416987212174,1.1216972983545728,1.1216972983545728
L-NP,L-NP capped rescale,30,0.3,70,24,24,72,3,3,1.3227504185504382,0.5871048135721948,0.11984226823197677,1.3227504185504382,0.5871048135721948,0.11984226823197677,1.3227504185504384,1.3227504185504384
L-NP,L-NP capped rescale,30,0.3,80,24,24,72,3,3,1.755662202835083,0.40773420327097964,0.08322839572451134,1.755662202835083,0.40773420327097964,0.08322839572451134,1.755662202835083,1.755662202835083
