family,plot_x,plot_label,point_type,source,n,raw_run_count,sparsity_level_count_min,sparsity_level_count_max,mean_retention_across_p50_80,sd_retention_across_p50_80,sem_retention_across_p50_80,mean_rho_ratio_across_p50_80,sd_rho_ratio_across_p50_80,sem_rho_ratio_across_p50_80
L-NP,0,q0 mask-only,mask_only_not_cap_quantile,canonical_main_mask_raw,24,96,4,4,0.37713303484033606,0.12483790374593104,0.025482430394684317,0.9878983739274599,0.025970724180846175,0.00530125187446948
L-NP,10,q10,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.21945856427873364,0.19107940883344376,0.039003920999549496,0.9980177979439092,0.027902309051243596,0.005695534985082285
L-NP,20,q20,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.41647030867792423,0.23895111752441878,0.048775692616886794,1.0075009029782227,0.025321851314554007,0.0051688012552733986
L-NP,30,q30,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.5856763803041712,0.2110459692017153,0.043079578067944685,1.0154409302018832,0.02628493464798237,0.005365389817496582
L-NP,40,q40,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.6632419492883755,0.1920692534406208,0.03920597218390195,1.0217569525086148,0.027631655106741048,0.005640287980007052
L-NP,50,q50,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.6884097958589074,0.1859395372914944,0.03795474911444715,1.0270916973066087,0.028987269154147198,0.005917001538698232
L-NP,60,q60,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.6910111527224773,0.18743900047524623,0.03826082575513724,1.0314257713628958,0.03027430291006057,0.006179716204008691
L-NP,70,q70,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.6849881016724667,0.19211641610923233,0.03921559922331913,1.0348267845851522,0.031505489094362626,0.006431031031500712
L-NP,80,q80,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.6769261191396052,0.19693324472218426,0.04019883024666665,1.0372201236652367,0.03265899049989609,0.0066664885199290615
L-NP,90,q90,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.6704264383622979,0.2002130198188796,0.040868311534832565,1.038511714775462,0.03361168532445343,0.006860956536658714
L-NP,100,q100 no cap,uncapped_rescale,matched_q50_suite_uncapped_3_pruning_seeds,24,288,4,4,0.6677259850638605,0.20173564101935113,0.041179115285890834,1.0390066271285427,0.03398012806215789,0.006936164595559549
S-NP,0,q0 mask-only,mask_only_not_cap_quantile,canonical_main_mask_raw,24,288,4,4,0.4766385183715714,0.14778968667427084,0.030167443466480516,0.9687288849914307,0.03870546335150712,0.007900719622432242
S-NP,10,q10,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.3062650141911821,0.23401356393844966,0.047767818711613994,0.9846732839133417,0.037648765700175425,0.00768502211758557
S-NP,20,q20,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.5397738588409594,0.22755164417710452,0.04644878486377209,0.9986899276528939,0.032773222863232164,0.006689806103452861
S-NP,30,q30,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.681007289381094,0.1747368722150008,0.035668014681388284,1.0083813111897466,0.03054798743156071,0.006235581823023117
S-NP,40,q40,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.7242100816728979,0.15653652912958366,0.03195288520614961,1.016327967363806,0.02984840173946844,0.0060927794916082936
S-NP,50,q50,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.7295321997966764,0.15553118431296029,0.031747670054793016,1.0226692414285499,0.029700970790350043,0.0060626852751387685
S-NP,60,q60,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.7204400761505249,0.16164235252797982,0.032995107043052425,1.0276451738846586,0.029916468657688697,0.006106673593108575
S-NP,70,q70,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.7063611912815165,0.17002812465151781,0.034706845609879376,1.031362063773671,0.0301825110448056,0.006160979267974275
S-NP,80,q80,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.6924369571729213,0.17779668574676052,0.036292596503127834,1.0340090447459167,0.03055390609425946,0.006236789964987416
S-NP,90,q90,cap_quantile,three_pruning_seed_curve,24,288,4,4,0.6818252062481384,0.1832062326513362,0.03739681564111639,1.0353555861065604,0.030720377116445666,0.006270770720097061
S-NP,100,q100 no cap,uncapped_rescale,matched_q50_suite_uncapped_3_pruning_seeds,24,288,4,4,0.6762389671232277,0.18454242577933014,0.03766956492123293,1.0360815669005967,0.030539375705041512,0.006233823961708415
