method,family,method_label,cap_quantile,cap_percentile,pruning_pct,n,n_trained_networks,raw_run_count,pruning_seed_replicates_per_network_min,pruning_seed_replicates_per_network_max,sequence_retention_mean,sequence_retention_sd,sequence_retention_sem,post_acc_sequence_mean,post_acc_sequence_sd,post_acc_sequence_sem,effective_nonzero_recurrent_density_offdiag_mean,effective_nonzero_recurrent_density_offdiag_sd,effective_nonzero_recurrent_density_offdiag_sem,candidate_edge_cap_value_mean,candidate_edge_cap_value_sd,candidate_edge_cap_value_sem,post_rec_linear_rho_mean,post_rec_linear_rho_sd,post_rec_linear_rho_sem,post_rec_linear_rho_ratio_to_unpruned_mean,post_rec_linear_rho_ratio_to_unpruned_sd,post_rec_linear_rho_ratio_to_unpruned_sem
L-NP capped rescale,L-NP,L-NP capped q10,0.1,10,50,24,24,72,3,3,0.2293326572447418,0.1947361866401974,0.03975035764365618,0.14229699063753593,0.1135871588259262,0.02318588170466583,0.4501528440285932,0.03506656403219846,0.007157932409293305,1.06737749178637,0.0829764471851196,0.016937496356045047,1.1358940386109881,0.09428153494784436,0.01924513773238321,0.9907957511317393,0.023215905668405274,0.00473892690034838
L-NP capped rescale,L-NP,L-NP capped q10,0.1,10,60,24,24,72,3,3,0.22648992577274032,0.1930252623984711,0.039401116695257206,0.1404974647576488,0.11265492118409082,0.022995589492873152,0.37156276118109915,0.027881761122939733,0.005691340656780972,1.3342218647329627,0.10372055898139944,0.0211718704450563,1.1355821159150865,0.09364905569541043,0.019116033445603205,0.99058481890086,0.023949650062778556,0.004888701847668548
L-NP capped rescale,L-NP,L-NP capped q10,0.1,10,70,24,24,72,3,3,0.21857778385917517,0.19138349100304172,0.03906599151249895,0.13547864252190273,0.11194942918147796,0.02285158154087184,0.2850830449724125,0.019258420048906877,0.003931108531000609,1.7789624863106168,0.13829407864186605,0.028229160593408426,1.1412379261520174,0.08888237124833276,0.01814303805725313,0.9959412560270452,0.0272259871180495,0.005557481348567433
L-NP capped rescale,L-NP,L-NP capped q10,0.1,10,80,24,24,72,3,3,0.2034338902382772,0.18561218347356334,0.037887928296173566,0.1258199259329058,0.10871113373959344,0.022190567251788702,0.19381341604492827,0.010589268898607814,0.002161525462559397,2.6684437294659262,0.20744111796279904,0.042343740890112634,1.1613075186808903,0.0752659625006436,0.015363600260502487,1.0147493657159927,0.04071211735338388,0.008310326155341571
L-NP capped rescale,L-NP,L-NP capped q20,0.2,20,50,24,24,72,3,3,0.4936994690125664,0.21758911282712648,0.0444151916676115,0.32029430379887075,0.11425795774919596,0.023322807961500772,0.4501528440285932,0.03506656403219846,0.007157932409293305,1.3690396221211036,0.15213934434334406,0.031055313620231603,1.139512386586931,0.10215460392764225,0.02085222120823649,0.9932772421102395,0.01463339934695555,0.0029870301335348064
L-NP capped rescale,L-NP,L-NP capped q20,0.2,20,60,24,24,72,3,3,0.45995590692354554,0.23356702679212715,0.047676669698306605,0.2951774176496242,0.12542838898448647,0.025602962689276514,0.37156276118109915,0.027881761122939733,0.005691340656780972,1.7112995276513796,0.19017418042918008,0.03881914202528951,1.14052614569664,0.10007659891738017,0.02042805021172907,0.9943561817763714,0.016747698205134793,0.0034186095807254933
L-NP capped rescale,L-NP,L-NP capped q20,0.2,20,70,24,24,72,3,3,0.397255808894667,0.2524987037489055,0.051541082074916034,0.25137070150494484,0.14176851503842308,0.028938376953018343,0.2850830449724125,0.019258420048906877,0.003931108531000609,2.2817327035351727,0.25356557390557344,0.05175885603371934,1.15359228849411,0.09126522501585516,0.018629436045761328,1.00660965415391,0.026220158547368567,0.005352167451327332
L-NP capped rescale,L-NP,L-NP capped q20,0.2,20,80,24,24,72,3,3,0.3149700498809179,0.26204834313172626,0.053490394051207514,0.1966287457132896,0.1524119332915049,0.031110955606274606,0.19381341604492827,0.010589268898607814,0.002161525462559397,3.4225990553027597,0.3803483608583604,0.07763828405057906,1.1847512705458534,0.07114752651938254,0.014522928036135141,1.0357605338723699,0.047501054941693654,0.009696112237588234
L-NP capped rescale,L-NP,L-NP capped q30,0.3,30,50,24,24,72,3,3,0.754916705110546,0.16608914697174856,0.033902805157908826,0.506727775390912,0.12323838774102254,0.025155930557397576,0.4501528440285932,0.03506656403219846,0.007157932409293305,1.6676754012966246,0.20761086525030498,0.04237839041008022,1.1433812710973952,0.10536089639121556,0.021506702916726975,0.9964081669071235,0.011682735828651442,0.002384728464993937
L-NP capped rescale,L-NP,L-NP capped q30,0.3,30,60,24,24,72,3,3,0.6800394793754988,0.19209993531737451,0.039212235095768405,0.4513211277879377,0.11259311749034276,0.022982973866714655,0.37156276118109915,0.027881761122939733,0.005691340656780972,2.0845942516207807,0.2595135815628812,0.05297298801260027,1.1467333369784884,0.1023043112934819,0.020882780096323432,0.9996414476101987,0.015802828214151195,0.0032257388014606636
L-NP capped rescale,L-NP,L-NP capped q30,0.3,30,70,24,24,72,3,3,0.5352930665299954,0.24482758258394371,0.049975221024147636,0.34681933892738687,0.13161478813694405,0.026865756128335465,0.2850830449724125,0.019258420048906877,0.003931108531000609,2.779459002161041,0.3460181087505083,0.07063065068346704,1.1642231742540996,0.09090269691857551,0.018555435307781563,1.0160150006374538,0.02847322030154749,0.00581207175605386
L-NP capped rescale,L-NP,L-NP capped q30,0.3,30,80,24,24,72,3,3,0.37245627020064465,0.29195734369449183,0.059595543225823396,0.23445347627064675,0.16858358624000253,0.034411980441374126,0.19381341604492827,0.010589268898607814,0.002161525462559397,4.169188503241563,0.5190271631257627,0.1059459760252006,1.2002447032266192,0.06841095855595766,0.01396432843973195,1.049699105652757,0.052938920757617476,0.010806111949149624
L-NP capped rescale,L-NP,L-NP capped q40,0.4,40,50,24,24,72,3,3,0.8728652823320027,0.12173988840709414,0.024850050661728823,0.5883585685965343,0.11735776060324289,0.023955552569470604,0.4501528440285932,0.03506656403219846,0.007157932409293305,2.0199308538962053,0.26649028838550537,0.05439710232930221,1.1467615001731448,0.10751681258891982,0.021946777467775035,0.999207234251743,0.010204721815321957,0.002083030117882239
L-NP capped rescale,L-NP,L-NP capped q40,0.4,40,60,24,24,72,3,3,0.7852966983885908,0.16573797032187748,0.03383112152442848,0.5251879778812706,0.11295403765825247,0.02305664638748619,0.37156276118109915,0.027881761122939733,0.005691340656780972,2.5249135673702563,0.33311286048188177,0.06799637791162778,1.1524346785412896,0.10351151634121702,0.021129199794812037,1.004600111268053,0.01776100502942617,0.003625449970091654
