dataset,metric,unit,pruning_pct,method,n,mean,median,sd,sem,min,max,range
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,50,Baseline,8,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,50,S-NP capped q50,8,0.46615077029313434,0.4634078909817351,0.008492796841595481,0.003002657118965929,0.45523228555120676,0.4785958904109589,0.02336360485975214
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,50,S-NP capped q75,8,0.46615077029313434,0.4634078909817351,0.008492796841595481,0.003002657118965929,0.45523228555120676,0.4785958904109589,0.02336360485975214
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,50,S-NP capped q90,8,0.46615077029313434,0.4634078909817351,0.008492796841595481,0.003002657118965929,0.45523228555120676,0.4785958904109589,0.02336360485975214
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,50,S-NP rescale,8,0.46615077029313434,0.4634078909817351,0.008492796841595481,0.003002657118965929,0.45523228555120676,0.4785958904109589,0.02336360485975214
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,60,Baseline,8,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,60,S-NP capped q50,8,0.3863750738951402,0.3854395996412263,0.0052090302298542215,0.00184167029946782,0.37877757053163724,0.3929259417808219,0.014148371249184666
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,60,S-NP capped q75,8,0.3863750738951402,0.3854395996412263,0.0052090302298542215,0.00184167029946782,0.37877757053163724,0.3929259417808219,0.014148371249184666
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,60,S-NP capped q90,8,0.3863750738951402,0.3854395996412263,0.0052090302298542215,0.00184167029946782,0.37877757053163724,0.3929259417808219,0.014148371249184666
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,60,S-NP rescale,8,0.3863750738951402,0.3854395996412263,0.0052090302298542215,0.00184167029946782,0.37877757053163724,0.3929259417808219,0.014148371249184666
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,70,Baseline,8,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,70,S-NP capped q50,8,0.2961671036672374,0.29604240561806916,0.0026124505982531164,0.0009236407667698157,0.29190491479125896,0.2996052980267449,0.007700383235485941
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,70,S-NP capped q75,8,0.2961671036672374,0.29604240561806916,0.0026124505982531164,0.0009236407667698157,0.29190491479125896,0.2996052980267449,0.007700383235485941
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,70,S-NP capped q90,8,0.2961671036672374,0.29604240561806916,0.0026124505982531164,0.0009236407667698157,0.29190491479125896,0.2996052980267449,0.007700383235485941
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,70,S-NP rescale,8,0.2961671036672374,0.29604240561806916,0.0026124505982531164,0.0009236407667698157,0.29190491479125896,0.2996052980267449,0.007700383235485941
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,80,Baseline,8,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,80,S-NP capped q50,8,0.19947849778824198,0.1995914108365949,0.0008211831199275014,0.00029033207634833106,0.19797782126549246,0.20039215386497058,0.002414332599478125
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,80,S-NP capped q75,8,0.19947849778824198,0.1995914108365949,0.0008211831199275014,0.00029033207634833106,0.19797782126549246,0.20039215386497058,0.002414332599478125
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,80,S-NP capped q90,8,0.19947849778824198,0.1995914108365949,0.0008211831199275014,0.00029033207634833106,0.19797782126549246,0.20039215386497058,0.002414332599478125
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_mean,80,S-NP rescale,8,0.19947849778824198,0.1995914108365949,0.0008211831199275014,0.00029033207634833106,0.19797782126549246,0.20039215386497058,0.002414332599478125
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,50,Baseline,24,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,50,S-NP capped q50,24,0.4661507702931343,0.4650081029843444,0.008847269531687603,0.0018059413307922431,0.4481638331702544,0.4830601761252446,0.03489634295499022
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,50,S-NP capped q75,24,0.4661507702931343,0.4650081029843444,0.008847269531687603,0.0018059413307922431,0.4481638331702544,0.4830601761252446,0.03489634295499022
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,50,S-NP capped q90,24,0.4661507702931343,0.4650081029843444,0.008847269531687603,0.0018059413307922431,0.4481638331702544,0.4830601761252446,0.03489634295499022
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,50,S-NP rescale,24,0.4661507702931343,0.4650081029843444,0.008847269531687603,0.0018059413307922431,0.4481638331702544,0.4830601761252446,0.03489634295499022
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,60,Baseline,24,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,60,S-NP capped q50,24,0.3863750738951402,0.38693279109589035,0.005774148289044614,0.0011786430839436518,0.3721868884540117,0.3963582436399217,0.024171355185910015
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,60,S-NP capped q75,24,0.3863750738951402,0.38693279109589035,0.005774148289044614,0.0011786430839436518,0.3721868884540117,0.3963582436399217,0.024171355185910015
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,60,S-NP capped q90,24,0.3863750738951402,0.38693279109589035,0.005774148289044614,0.0011786430839436518,0.3721868884540117,0.3963582436399217,0.024171355185910015
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,60,S-NP rescale,24,0.3863750738951402,0.38693279109589035,0.005774148289044614,0.0011786430839436518,0.3721868884540117,0.3963582436399217,0.024171355185910015
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,70,Baseline,24,1.0,1.0,0.0,0.0,1.0,1.0,0.0
