method_order,method,pruning_pct,n,n_trained_networks,raw_run_count,pruning_seed_replicates_per_network_min,pruning_seed_replicates_per_network_max,post_acc_sequence_mean,post_acc_sequence_sd,post_acc_sequence_sem,sequence_retention_mean,sequence_retention_sd,sequence_retention_sem,effective_nonzero_recurrent_density_offdiag_mean,effective_nonzero_recurrent_density_offdiag_sd,effective_nonzero_recurrent_density_offdiag_sem,post_rec_linear_rho_mean,post_rec_linear_rho_sd,post_rec_linear_rho_sem,post_rec_linear_rho_ratio_to_unpruned_mean,post_rec_linear_rho_ratio_to_unpruned_sd,post_rec_linear_rho_ratio_to_unpruned_sem,n_tasks,post_acc_sequence_taskmean_sd,post_acc_sequence_taskmean_sem,sequence_retention_taskmean_sd,sequence_retention_taskmean_sem,effective_nonzero_recurrent_density_offdiag_taskmean_sd,effective_nonzero_recurrent_density_offdiag_taskmean_sem,post_rec_linear_rho_taskmean_sd,post_rec_linear_rho_taskmean_sem,post_rec_linear_rho_ratio_to_unpruned_taskmean_sd,post_rec_linear_rho_ratio_to_unpruned_taskmean_sem
1,Random,50,24,24,72,3,3,0.03588247377740973,0.022598271227133846,0.004612852797958048,0.05537975825364753,0.035032798128615206,0.007151039973086389,0.49998980756686234,1.4876884564566258e-05,3.0367313454562032e-06,1.0353295728564262,0.03921706724011616,0.008005150328891895,0.9069457513052971,0.05849473927705774,0.011940188655494104,8,0.023071684051625935,0.008157072123149109,0.03447808261179946,0.012189843008556694,0.0,0.0,0.03771613571344128,0.013334667661563228,0.05999119849497349,0.02121009163365198
1,Random,60,24,24,72,3,3,0.04211590955226418,0.030094311517533286,0.006142975614859954,0.0643345712967907,0.046216655638811575,0.009433935327750942,0.3999837770439226,4.424100682292503e-06,9.030657701929622e-07,1.0154636411203277,0.025459273784430803,0.00519685249947266,0.8905546930401219,0.06707064796856377,0.013690738686734864,8,0.031183931346228214,0.011025184659486856,0.04667049355550125,0.016500511237208998,0.0,0.0,0.025009424470575504,0.008842166818358359,0.06827708784389194,0.02413959590704279
1,Random,70,24,24,72,3,3,0.05242386379313377,0.02823750540617206,0.005763956654516917,0.07696377055817538,0.04302057271474561,0.008781537632785604,0.2999841167916939,4.29458665403816e-06,8.766288298800003e-07,0.9964251551363202,0.013540999655620825,0.00276404498028948,0.874826030884826,0.07539690655581148,0.015390329103836833,8,0.029375424931188526,0.01038578108453989,0.04363455348050387,0.015427144330055678,0.0,0.0,0.013199724422719336,0.0046668073245492644,0.0764224647814474,0.02701942154097578
1,Random,80,24,24,72,3,3,0.04414967749046214,0.027751971478442484,0.005664847456538015,0.06294450827477689,0.03500018650187121,0.007144383152652647,0.19998955275603392,1.1688980729311981e-05,2.386003200003328e-06,0.9765605868564712,0.004424037465197483,0.0009030528660574774,0.8579799723182129,0.0794621957212193,0.01622015277984634,8,0.028877723322981184,0.010209816993454458,0.035692917953666504,0.012619352162686327,0.0,0.0,0.0032565670832583097,0.0011513703339804233,0.08059089952404613,0.028493185777688362
2,Magnitude,50,24,24,24,1,1,0.5008073281309076,0.10889348908048603,0.02222779037987688,0.747875582817194,0.15159083155403147,0.030943348915964387,0.5009784735812133,0.0,0.0,1.1398292730251949,0.1077936202228518,0.022003280589445073,0.9930939403894731,0.009542560686349542,0.001947867043424934,8,0.09834227357111344,0.03476924425971845,0.10156405985348663,0.03590831772361839,0.0,0.0,0.10767896097029143,0.038070261746607326,0.008581275451692334,0.003033939031560651
2,Magnitude,60,24,24,24,1,1,0.26837301029881705,0.0962282438419464,0.019642508021407188,0.4164201981991286,0.1862277219248695,0.03801357455640382,0.4007843077299413,0.0,0.0,1.134327620267868,0.10084142710091784,0.02058417011094299,0.9888289448057012,0.015419850725139283,0.0031475638488730356,8,0.09100483189226208,0.03217506687588015,0.173327423733757,0.061280498343866854,0.0,0.0,0.09968055956826864,0.03524239981159617,0.014543018865325443,0.005141733629297755
2,Magnitude,70,24,24,24,1,1,0.11712075162037598,0.08110072423442263,0.016554616012042115,0.18831976235975403,0.13968896382901744,0.028513890339932384,0.30058631971624267,0.0,0.0,1.1262869487206142,0.09264014030024148,0.018910089452953003,0.9825162564830099,0.025230798226698093,0.005150215121544082,8,0.08233638691285589,0.02911030876223985,0.13999575729112565,0.049495974658950496,0.0,0.0,0.08969984706265903,0.03171368506470121,0.023808685283603585,0.008417641407586227
2,Magnitude,80,24,24,24,1,1,0.05422199464839694,0.03645132864924188,0.007440596303094716,0.08711283203347599,0.06289451746522536,0.012838289617363914,0.20039215386497064,0.0,0.0,1.1158055017391841,0.07962517396293045,0.016253420574127028,0.9745601963868911,0.0386971524234289,0.007899023161342193,8,0.037009214648068584,0.0130847333220189,0.06287836290696602,0.022230858400712174,0.0,0.0,0.07338732406359597,0.025946337249251702,0.03692326880865676,0.013054346879087466
3,OBS compensated,50,24,24,24,1,1,0.6257963912528525,0.09137471153476993,0.018651784887849226,0.9301321716394021,0.07691034725258461,0.015699258892424867,0.5009784735812133,0.0,0.0,1.141459251443545,0.10362781564331329,0.02115293929044351,0.9948396695853656,0.01248418438866753,0.002548323467254583,8,0.08941524032369967,0.03161306138715643,0.046047739331893205,0.01628033436994609,0.0,0.0,0.10334827022787145,0.03653913135101384,0.012546996718637316,0.004436033231636903
3,OBS compensated,60,24,24,24,1,1,0.4854156325560173,0.1059938383195263,0.021635901646824857,0.7251308957179954,0.14940764371403759,0.03049770756424489,0.4007843077299413,0.0,0.0,1.1353330711523693,0.09449339389015297,0.019288383257891697,0.9902622216390039,0.022261847034977675,0.004544180497298827,8,0.09634313124455048,0.034062440711883586,0.09982230377342129,0.03529251395592484,0.0,0.0,0.0923586137286884,0.03265370103427226,0.02211369158371808,0.007818370637957468
