task,task_short,model_seed,checkpoint_file,selected_checkpoint_sequence_accuracy,selected_checkpoint_loss,train_best_step,train_best_metric,train_best_metric_mode,train_best_tie_metric,train_best_tie_metric_mode,train_best_val_acc_sequence,train_best_val_loss,train_steps,lr,source_file
modcog:ctxdlydm2intseq,ctxdlydm2intseq,0,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0/modcog_ctxdlydm2intseq_seed0.pt,0.7527688227953411,0.6085868408894182,5500.0,acc_sequence,max,loss,min,0.7527688227953411,0.6085868408894182,6000.0,0.0006,continue_tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0.csv
modcog:ctxdlydm1intseq,ctxdlydm1intseq,0,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0/modcog_ctxdlydm1intseq_seed0.pt,0.7548536129568106,0.8563660562681993,4500.0,acc_sequence,max,loss,min,0.7548536129568106,0.8563660562681993,6000.0,0.0006,continue_tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0.csv
modcog:dlydm1intseq,dlydm1intseq,0,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0/modcog_dlydm1intseq_seed0.pt,0.6497635346989966,0.8240336066105692,5000.0,acc_sequence,max,loss,min,0.6497635346989966,0.8240336066105692,6000.0,0.0006,continue_tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0.csv
modcog:dlydm2intseq,dlydm2intseq,0,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0/modcog_dlydm2intseq_seed0.pt,0.765279371869783,0.6529117938075122,5000.0,acc_sequence,max,loss,min,0.765279371869783,0.6529117938075122,6000.0,0.0006,continue_tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0.csv
modcog:multidlydmintseq,multidlydmintseq,0,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0/modcog_multidlydmintseq_seed0.pt,0.5486962005766063,1.3044418278203962,3000.0,acc_sequence,max,loss,min,0.5486962005766063,1.3044418278203962,6000.0,0.0006,continue_tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0.csv
modcog:dm1seqr,dm1seqr,0,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0/modcog_dm1seqr_seed0.pt,0.618718853820598,1.0766749639200213,6000.0,acc_sequence,max,loss,min,0.618718853820598,1.0766749639200213,6000.0,0.0006,continue_tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0.csv
modcog:dm2seql,dm2seql,0,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0/modcog_dm2seql_seed0.pt,0.6435122282608695,0.9856959351877304,5500.0,acc_sequence,max,loss,min,0.6435122282608695,0.9856959351877304,6000.0,0.0006,continue_tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0.csv
modcog:dmsintseq,dmsintseq,0,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0/modcog_dmsintseq_seed0.pt,0.9448087184588948,0.1583811601941879,1500.0,acc_sequence,max,loss,min,0.9448087184588948,0.1583811601941879,6000.0,0.0006,continue_tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed0.csv
modcog:ctxdlydm2intseq,ctxdlydm2intseq,1,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1/modcog_ctxdlydm2intseq_seed1.pt,0.6946926652892562,1.0001197008800902,4500.0,acc_sequence,max,loss,min,0.6946926652892562,1.0001197008800902,6000.0,0.0006,continue_tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1.csv
modcog:ctxdlydm1intseq,ctxdlydm1intseq,1,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1/modcog_ctxdlydm1intseq_seed1.pt,0.7169236168885191,0.8543419177193015,5000.0,acc_sequence,max,loss,min,0.7169236168885191,0.8543419177193015,6000.0,0.0006,continue_tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1.csv
modcog:dlydm1intseq,dlydm1intseq,1,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1/modcog_dlydm1intseq_seed1.pt,0.7691419227574751,0.5844171740535485,4500.0,acc_sequence,max,loss,min,0.7691419227574751,0.5844171740535485,6000.0,0.0006,continue_tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1.csv
modcog:dlydm2intseq,dlydm2intseq,1,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1/modcog_dlydm2intseq_seed1.pt,0.6147207391122278,0.9688226462933088,6000.0,acc_sequence,max,loss,min,0.6147207391122278,0.9688226462933088,6000.0,0.0006,continue_tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1.csv
modcog:multidlydmintseq,multidlydmintseq,1,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1/modcog_multidlydmintseq_seed1.pt,0.632896714344942,1.3887634137351912,5500.0,acc_sequence,max,loss,min,0.632896714344942,1.3887634137351912,6000.0,0.0006,continue_tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1.csv
modcog:dm1seqr,dm1seqr,1,checkpoints/tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1/modcog_dm1seqr_seed1.pt,0.6516174623115578,0.9408122482810988,0.0,acc_sequence,max,loss,min,0.6516174623115578,0.9408122482810988,6000.0,0.0006,continue_tanh_h512_modcog_revised8_to12k_lr0006_seqbest_no_l2_seed1.csv
