bin_index,bin_left,bin_right,bin_space,count,method,phase,pruning_pct,pruning_seed,run_id,source_model_label,source_network_seed,strategy,task_short
0,-8.0,-7.8,log10_abs_nonzero,1,Unpruned baseline,pre,80,0,baseline_ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,none,ctxdlydm1intseq
1,-7.8,-7.6,log10_abs_nonzero,0,Unpruned baseline,pre,80,0,baseline_ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,none,ctxdlydm1intseq
2,-7.6,-7.3999999999999995,log10_abs_nonzero,0,Unpruned baseline,pre,80,0,baseline_ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,none,ctxdlydm1intseq
3,-7.3999999999999995,-7.199999999999999,log10_abs_nonzero,0,Unpruned baseline,pre,80,0,baseline_ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,none,ctxdlydm1intseq
4,-7.199999999999999,-6.999999999999999,log10_abs_nonzero,0,Unpruned baseline,pre,80,0,baseline_ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,none,ctxdlydm1intseq
5,-6.999999999999999,-6.799999999999999,log10_abs_nonzero,1,Unpruned baseline,pre,80,0,baseline_ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,none,ctxdlydm1intseq
6,-6.799999999999999,-6.599999999999999,log10_abs_nonzero,0,Unpruned baseline,pre,80,0,baseline_ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,none,ctxdlydm1intseq
7,-6.599999999999999,-6.399999999999999,log10_abs_nonzero,0,Unpruned baseline,pre,80,0,baseline_ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,none,ctxdlydm1intseq
8,-6.399999999999999,-6.199999999999998,log10_abs_nonzero,1,Unpruned baseline,pre,80,0,baseline_ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,none,ctxdlydm1intseq
9,-6.199999999999998,-5.999999999999998,log10_abs_nonzero,0,Unpruned baseline,pre,80,0,baseline_ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,none,ctxdlydm1intseq
