bin_index,bin_left,bin_right,bin_space,count,method,phase,pruning_pct
0,-8.0,-7.8,log10_abs_nonzero,0,L-NP rescale,post,80
1,-7.8,-7.6,log10_abs_nonzero,0,L-NP rescale,post,80
2,-7.6,-7.3999999999999995,log10_abs_nonzero,0,L-NP rescale,post,80
3,-7.3999999999999995,-7.199999999999999,log10_abs_nonzero,0,L-NP rescale,post,80
4,-7.199999999999999,-6.999999999999999,log10_abs_nonzero,0,L-NP rescale,post,80
5,-6.999999999999999,-6.799999999999999,log10_abs_nonzero,0,L-NP rescale,post,80
6,-6.799999999999999,-6.599999999999999,log10_abs_nonzero,0,L-NP rescale,post,80
7,-6.599999999999999,-6.399999999999999,log10_abs_nonzero,0,L-NP rescale,post,80
8,-6.399999999999999,-6.199999999999998,log10_abs_nonzero,0,L-NP rescale,post,80
9,-6.199999999999998,-5.999999999999998,log10_abs_nonzero,0,L-NP rescale,post,80
10,-5.999999999999998,-5.799999999999998,log10_abs_nonzero,0,L-NP rescale,post,80
11,-5.799999999999998,-5.599999999999998,log10_abs_nonzero,0,L-NP rescale,post,80
12,-5.599999999999998,-5.399999999999998,log10_abs_nonzero,0,L-NP rescale,post,80
13,-5.399999999999998,-5.1999999999999975,log10_abs_nonzero,0,L-NP rescale,post,80
14,-5.1999999999999975,-4.999999999999997,log10_abs_nonzero,0,L-NP rescale,post,80
15,-4.999999999999997,-4.799999999999997,log10_abs_nonzero,0,L-NP rescale,post,80
16,-4.799999999999997,-4.599999999999997,log10_abs_nonzero,0,L-NP rescale,post,80
17,-4.599999999999997,-4.399999999999997,log10_abs_nonzero,0,L-NP rescale,post,80
18,-4.399999999999997,-4.199999999999997,log10_abs_nonzero,0,L-NP rescale,post,80
19,-4.199999999999997,-3.9999999999999964,log10_abs_nonzero,0,L-NP rescale,post,80
20,-3.9999999999999964,-3.7999999999999963,log10_abs_nonzero,0,L-NP rescale,post,80
21,-3.7999999999999963,-3.599999999999996,log10_abs_nonzero,0,L-NP rescale,post,80
22,-3.599999999999996,-3.399999999999996,log10_abs_nonzero,0,L-NP rescale,post,80
23,-3.399999999999996,-3.1999999999999957,log10_abs_nonzero,0,L-NP rescale,post,80
24,-3.1999999999999957,-2.9999999999999956,log10_abs_nonzero,0,L-NP rescale,post,80
25,-2.9999999999999956,-2.7999999999999954,log10_abs_nonzero,0,L-NP rescale,post,80
26,-2.7999999999999954,-2.599999999999995,log10_abs_nonzero,0,L-NP rescale,post,80
27,-2.599999999999995,-2.399999999999995,log10_abs_nonzero,0,L-NP rescale,post,80
28,-2.399999999999995,-2.199999999999995,log10_abs_nonzero,0,L-NP rescale,post,80
29,-2.199999999999995,-1.9999999999999947,log10_abs_nonzero,1,L-NP rescale,post,80
30,-1.9999999999999947,-1.7999999999999945,log10_abs_nonzero,15,L-NP rescale,post,80
31,-1.7999999999999945,-1.5999999999999943,log10_abs_nonzero,480,L-NP rescale,post,80
32,-1.5999999999999943,-1.3999999999999941,log10_abs_nonzero,2340,L-NP rescale,post,80
33,-1.3999999999999941,-1.199999999999994,log10_abs_nonzero,9097,L-NP rescale,post,80
34,-1.199999999999994,-0.9999999999999938,log10_abs_nonzero,32288,L-NP rescale,post,80
35,-0.9999999999999938,-0.7999999999999936,log10_abs_nonzero,108304,L-NP rescale,post,80
36,-0.7999999999999936,-0.5999999999999934,log10_abs_nonzero,281639,L-NP rescale,post,80
37,-0.5999999999999934,-0.39999999999999325,log10_abs_nonzero,2947779,L-NP rescale,post,80
38,-0.39999999999999325,-0.19999999999999307,log10_abs_nonzero,254642,L-NP rescale,post,80
39,-0.19999999999999307,7.105427357601002e-15,log10_abs_nonzero,14376,L-NP rescale,post,80
40,7.105427357601002e-15,0.20000000000000728,log10_abs_nonzero,0,L-NP rescale,post,80
41,0.20000000000000728,0.40000000000000746,log10_abs_nonzero,0,L-NP rescale,post,80
42,0.40000000000000746,0.6000000000000076,log10_abs_nonzero,0,L-NP rescale,post,80
43,0.6000000000000076,0.8000000000000078,log10_abs_nonzero,0,L-NP rescale,post,80
44,0.8000000000000078,1.000000000000008,log10_abs_nonzero,0,L-NP rescale,post,80
45,1.000000000000008,1.2000000000000082,log10_abs_nonzero,0,L-NP rescale,post,80
46,1.2000000000000082,1.4000000000000083,log10_abs_nonzero,0,L-NP rescale,post,80
47,1.4000000000000083,1.6000000000000085,log10_abs_nonzero,0,L-NP rescale,post,80
48,1.6000000000000085,1.8000000000000087,log10_abs_nonzero,0,L-NP rescale,post,80
49,1.8000000000000087,2.000000000000009,log10_abs_nonzero,0,L-NP rescale,post,80
50,2.000000000000009,2.200000000000009,log10_abs_nonzero,0,L-NP rescale,post,80
51,2.200000000000009,2.4000000000000092,log10_abs_nonzero,0,L-NP rescale,post,80
52,2.4000000000000092,2.6000000000000094,log10_abs_nonzero,0,L-NP rescale,post,80
53,2.6000000000000094,2.8000000000000096,log10_abs_nonzero,0,L-NP rescale,post,80
54,2.8000000000000096,3.0000000000000098,log10_abs_nonzero,0,L-NP rescale,post,80
55,3.0000000000000098,3.20000000000001,log10_abs_nonzero,0,L-NP rescale,post,80
56,3.20000000000001,3.40000000000001,log10_abs_nonzero,0,L-NP rescale,post,80
57,3.40000000000001,3.6000000000000103,log10_abs_nonzero,0,L-NP rescale,post,80
58,3.6000000000000103,3.8000000000000105,log10_abs_nonzero,0,L-NP rescale,post,80
59,3.8000000000000105,4.000000000000011,log10_abs_nonzero,0,L-NP rescale,post,80
60,4.000000000000011,4.200000000000011,log10_abs_nonzero,0,L-NP rescale,post,80
61,4.200000000000011,4.400000000000011,log10_abs_nonzero,0,L-NP rescale,post,80
62,4.400000000000011,4.600000000000011,log10_abs_nonzero,0,L-NP rescale,post,80
63,4.600000000000011,4.800000000000011,log10_abs_nonzero,0,L-NP rescale,post,80
64,4.800000000000011,5.0000000000000115,log10_abs_nonzero,0,L-NP rescale,post,80
65,5.0000000000000115,5.200000000000012,log10_abs_nonzero,0,L-NP rescale,post,80
66,5.200000000000012,5.400000000000012,log10_abs_nonzero,0,L-NP rescale,post,80
67,5.400000000000012,5.600000000000012,log10_abs_nonzero,0,L-NP rescale,post,80
68,5.600000000000012,5.800000000000012,log10_abs_nonzero,0,L-NP rescale,post,80
69,5.800000000000012,6.000000000000012,log10_abs_nonzero,0,L-NP rescale,post,80
70,6.000000000000012,6.200000000000013,log10_abs_nonzero,0,L-NP rescale,post,80
71,6.200000000000013,6.400000000000013,log10_abs_nonzero,0,L-NP rescale,post,80
72,6.400000000000013,6.600000000000013,log10_abs_nonzero,0,L-NP rescale,post,80
73,6.600000000000013,6.800000000000013,log10_abs_nonzero,0,L-NP rescale,post,80
74,6.800000000000013,7.000000000000013,log10_abs_nonzero,0,L-NP rescale,post,80
75,7.000000000000013,7.2000000000000135,log10_abs_nonzero,0,L-NP rescale,post,80
76,7.2000000000000135,7.400000000000014,log10_abs_nonzero,0,L-NP rescale,post,80
77,7.400000000000014,7.600000000000014,log10_abs_nonzero,0,L-NP rescale,post,80
78,7.600000000000014,7.800000000000014,log10_abs_nonzero,0,L-NP rescale,post,80
79,7.800000000000014,8.000000000000014,log10_abs_nonzero,0,L-NP rescale,post,80
0,-8.0,-7.8,log10_abs_nonzero,0,S-NP rescale,post,80
1,-7.8,-7.6,log10_abs_nonzero,0,S-NP rescale,post,80
2,-7.6,-7.3999999999999995,log10_abs_nonzero,0,S-NP rescale,post,80
3,-7.3999999999999995,-7.199999999999999,log10_abs_nonzero,0,S-NP rescale,post,80
4,-7.199999999999999,-6.999999999999999,log10_abs_nonzero,0,S-NP rescale,post,80
5,-6.999999999999999,-6.799999999999999,log10_abs_nonzero,0,S-NP rescale,post,80
6,-6.799999999999999,-6.599999999999999,log10_abs_nonzero,0,S-NP rescale,post,80
7,-6.599999999999999,-6.399999999999999,log10_abs_nonzero,0,S-NP rescale,post,80
8,-6.399999999999999,-6.199999999999998,log10_abs_nonzero,0,S-NP rescale,post,80
9,-6.199999999999998,-5.999999999999998,log10_abs_nonzero,0,S-NP rescale,post,80
10,-5.999999999999998,-5.799999999999998,log10_abs_nonzero,0,S-NP rescale,post,80
11,-5.799999999999998,-5.599999999999998,log10_abs_nonzero,0,S-NP rescale,post,80
12,-5.599999999999998,-5.399999999999998,log10_abs_nonzero,0,S-NP rescale,post,80
13,-5.399999999999998,-5.1999999999999975,log10_abs_nonzero,0,S-NP rescale,post,80
14,-5.1999999999999975,-4.999999999999997,log10_abs_nonzero,0,S-NP rescale,post,80
15,-4.999999999999997,-4.799999999999997,log10_abs_nonzero,0,S-NP rescale,post,80
16,-4.799999999999997,-4.599999999999997,log10_abs_nonzero,0,S-NP rescale,post,80
17,-4.599999999999997,-4.399999999999997,log10_abs_nonzero,0,S-NP rescale,post,80
18,-4.399999999999997,-4.199999999999997,log10_abs_nonzero,0,S-NP rescale,post,80
19,-4.199999999999997,-3.9999999999999964,log10_abs_nonzero,0,S-NP rescale,post,80
20,-3.9999999999999964,-3.7999999999999963,log10_abs_nonzero,0,S-NP rescale,post,80
21,-3.7999999999999963,-3.599999999999996,log10_abs_nonzero,0,S-NP rescale,post,80
22,-3.599999999999996,-3.399999999999996,log10_abs_nonzero,0,S-NP rescale,post,80
23,-3.399999999999996,-3.1999999999999957,log10_abs_nonzero,0,S-NP rescale,post,80
24,-3.1999999999999957,-2.9999999999999956,log10_abs_nonzero,0,S-NP rescale,post,80
25,-2.9999999999999956,-2.7999999999999954,log10_abs_nonzero,0,S-NP rescale,post,80
26,-2.7999999999999954,-2.599999999999995,log10_abs_nonzero,0,S-NP rescale,post,80
27,-2.599999999999995,-2.399999999999995,log10_abs_nonzero,0,S-NP rescale,post,80
28,-2.399999999999995,-2.199999999999995,log10_abs_nonzero,0,S-NP rescale,post,80
29,-2.199999999999995,-1.9999999999999947,log10_abs_nonzero,0,S-NP rescale,post,80
30,-1.9999999999999947,-1.7999999999999945,log10_abs_nonzero,0,S-NP rescale,post,80
31,-1.7999999999999945,-1.5999999999999943,log10_abs_nonzero,0,S-NP rescale,post,80
32,-1.5999999999999943,-1.3999999999999941,log10_abs_nonzero,0,S-NP rescale,post,80
33,-1.3999999999999941,-1.199999999999994,log10_abs_nonzero,17,S-NP rescale,post,80
34,-1.199999999999994,-0.9999999999999938,log10_abs_nonzero,1176,S-NP rescale,post,80
35,-0.9999999999999938,-0.7999999999999936,log10_abs_nonzero,31469,S-NP rescale,post,80
36,-0.7999999999999936,-0.5999999999999934,log10_abs_nonzero,487779,S-NP rescale,post,80
37,-0.5999999999999934,-0.39999999999999325,log10_abs_nonzero,2996271,S-NP rescale,post,80
38,-0.39999999999999325,-0.19999999999999307,log10_abs_nonzero,240383,S-NP rescale,post,80
39,-0.19999999999999307,7.105427357601002e-15,log10_abs_nonzero,3,S-NP rescale,post,80
40,7.105427357601002e-15,0.20000000000000728,log10_abs_nonzero,0,S-NP rescale,post,80
41,0.20000000000000728,0.40000000000000746,log10_abs_nonzero,0,S-NP rescale,post,80
42,0.40000000000000746,0.6000000000000076,log10_abs_nonzero,0,S-NP rescale,post,80
43,0.6000000000000076,0.8000000000000078,log10_abs_nonzero,0,S-NP rescale,post,80
44,0.8000000000000078,1.000000000000008,log10_abs_nonzero,0,S-NP rescale,post,80
45,1.000000000000008,1.2000000000000082,log10_abs_nonzero,0,S-NP rescale,post,80
46,1.2000000000000082,1.4000000000000083,log10_abs_nonzero,0,S-NP rescale,post,80
47,1.4000000000000083,1.6000000000000085,log10_abs_nonzero,0,S-NP rescale,post,80
48,1.6000000000000085,1.8000000000000087,log10_abs_nonzero,0,S-NP rescale,post,80
49,1.8000000000000087,2.000000000000009,log10_abs_nonzero,0,S-NP rescale,post,80
50,2.000000000000009,2.200000000000009,log10_abs_nonzero,0,S-NP rescale,post,80
51,2.200000000000009,2.4000000000000092,log10_abs_nonzero,0,S-NP rescale,post,80
52,2.4000000000000092,2.6000000000000094,log10_abs_nonzero,0,S-NP rescale,post,80
53,2.6000000000000094,2.8000000000000096,log10_abs_nonzero,0,S-NP rescale,post,80
54,2.8000000000000096,3.0000000000000098,log10_abs_nonzero,0,S-NP rescale,post,80
55,3.0000000000000098,3.20000000000001,log10_abs_nonzero,0,S-NP rescale,post,80
56,3.20000000000001,3.40000000000001,log10_abs_nonzero,0,S-NP rescale,post,80
57,3.40000000000001,3.6000000000000103,log10_abs_nonzero,0,S-NP rescale,post,80
58,3.6000000000000103,3.8000000000000105,log10_abs_nonzero,0,S-NP rescale,post,80
59,3.8000000000000105,4.000000000000011,log10_abs_nonzero,0,S-NP rescale,post,80
60,4.000000000000011,4.200000000000011,log10_abs_nonzero,0,S-NP rescale,post,80
61,4.200000000000011,4.400000000000011,log10_abs_nonzero,0,S-NP rescale,post,80
62,4.400000000000011,4.600000000000011,log10_abs_nonzero,0,S-NP rescale,post,80
63,4.600000000000011,4.800000000000011,log10_abs_nonzero,0,S-NP rescale,post,80
64,4.800000000000011,5.0000000000000115,log10_abs_nonzero,0,S-NP rescale,post,80
65,5.0000000000000115,5.200000000000012,log10_abs_nonzero,0,S-NP rescale,post,80
66,5.200000000000012,5.400000000000012,log10_abs_nonzero,0,S-NP rescale,post,80
67,5.400000000000012,5.600000000000012,log10_abs_nonzero,0,S-NP rescale,post,80
68,5.600000000000012,5.800000000000012,log10_abs_nonzero,0,S-NP rescale,post,80
69,5.800000000000012,6.000000000000012,log10_abs_nonzero,0,S-NP rescale,post,80
70,6.000000000000012,6.200000000000013,log10_abs_nonzero,0,S-NP rescale,post,80
71,6.200000000000013,6.400000000000013,log10_abs_nonzero,0,S-NP rescale,post,80
72,6.400000000000013,6.600000000000013,log10_abs_nonzero,0,S-NP rescale,post,80
73,6.600000000000013,6.800000000000013,log10_abs_nonzero,0,S-NP rescale,post,80
74,6.800000000000013,7.000000000000013,log10_abs_nonzero,0,S-NP rescale,post,80
75,7.000000000000013,7.2000000000000135,log10_abs_nonzero,0,S-NP rescale,post,80
76,7.2000000000000135,7.400000000000014,log10_abs_nonzero,0,S-NP rescale,post,80
77,7.400000000000014,7.600000000000014,log10_abs_nonzero,0,S-NP rescale,post,80
78,7.600000000000014,7.800000000000014,log10_abs_nonzero,0,S-NP rescale,post,80
79,7.800000000000014,8.000000000000014,log10_abs_nonzero,0,S-NP rescale,post,80
0,-8.0,-7.8,log10_abs_nonzero,1,Unpruned baseline,pre,80
1,-7.8,-7.6,log10_abs_nonzero,4,Unpruned baseline,pre,80
2,-7.6,-7.3999999999999995,log10_abs_nonzero,1,Unpruned baseline,pre,80
3,-7.3999999999999995,-7.199999999999999,log10_abs_nonzero,0,Unpruned baseline,pre,80
4,-7.199999999999999,-6.999999999999999,log10_abs_nonzero,1,Unpruned baseline,pre,80
5,-6.999999999999999,-6.799999999999999,log10_abs_nonzero,1,Unpruned baseline,pre,80
6,-6.799999999999999,-6.599999999999999,log10_abs_nonzero,4,Unpruned baseline,pre,80
7,-6.599999999999999,-6.399999999999999,log10_abs_nonzero,9,Unpruned baseline,pre,80
8,-6.399999999999999,-6.199999999999998,log10_abs_nonzero,13,Unpruned baseline,pre,80
9,-6.199999999999998,-5.999999999999998,log10_abs_nonzero,15,Unpruned baseline,pre,80
10,-5.999999999999998,-5.799999999999998,log10_abs_nonzero,47,Unpruned baseline,pre,80
11,-5.799999999999998,-5.599999999999998,log10_abs_nonzero,56,Unpruned baseline,pre,80
12,-5.599999999999998,-5.399999999999998,log10_abs_nonzero,89,Unpruned baseline,pre,80
13,-5.399999999999998,-5.1999999999999975,log10_abs_nonzero,141,Unpruned baseline,pre,80
14,-5.1999999999999975,-4.999999999999997,log10_abs_nonzero,215,Unpruned baseline,pre,80
15,-4.999999999999997,-4.799999999999997,log10_abs_nonzero,359,Unpruned baseline,pre,80
16,-4.799999999999997,-4.599999999999997,log10_abs_nonzero,583,Unpruned baseline,pre,80
17,-4.599999999999997,-4.399999999999997,log10_abs_nonzero,880,Unpruned baseline,pre,80
