bin_index,bin_left,bin_right,bin_space,count,method,phase,pruning_pct
0,-2.0,-1.98,signed_offdiag_with_zeros,0,L-NP rescale,post,80
1,-1.98,-1.96,signed_offdiag_with_zeros,0,L-NP rescale,post,80
2,-1.96,-1.94,signed_offdiag_with_zeros,0,L-NP rescale,post,80
3,-1.94,-1.92,signed_offdiag_with_zeros,0,L-NP rescale,post,80
4,-1.92,-1.9,signed_offdiag_with_zeros,0,L-NP rescale,post,80
5,-1.9,-1.88,signed_offdiag_with_zeros,0,L-NP rescale,post,80
6,-1.88,-1.8599999999999999,signed_offdiag_with_zeros,0,L-NP rescale,post,80
7,-1.8599999999999999,-1.8399999999999999,signed_offdiag_with_zeros,0,L-NP rescale,post,80
8,-1.8399999999999999,-1.8199999999999998,signed_offdiag_with_zeros,0,L-NP rescale,post,80
9,-1.8199999999999998,-1.7999999999999998,signed_offdiag_with_zeros,0,L-NP rescale,post,80
10,-1.7999999999999998,-1.7799999999999998,signed_offdiag_with_zeros,0,L-NP rescale,post,80
11,-1.7799999999999998,-1.7599999999999998,signed_offdiag_with_zeros,0,L-NP rescale,post,80
12,-1.7599999999999998,-1.7399999999999998,signed_offdiag_with_zeros,0,L-NP rescale,post,80
13,-1.7399999999999998,-1.7199999999999998,signed_offdiag_with_zeros,0,L-NP rescale,post,80
14,-1.7199999999999998,-1.6999999999999997,signed_offdiag_with_zeros,0,L-NP rescale,post,80
15,-1.6999999999999997,-1.6799999999999997,signed_offdiag_with_zeros,0,L-NP rescale,post,80
16,-1.6799999999999997,-1.6599999999999997,signed_offdiag_with_zeros,0,L-NP rescale,post,80
17,-1.6599999999999997,-1.6399999999999997,signed_offdiag_with_zeros,0,L-NP rescale,post,80
18,-1.6399999999999997,-1.6199999999999997,signed_offdiag_with_zeros,0,L-NP rescale,post,80
19,-1.6199999999999997,-1.5999999999999996,signed_offdiag_with_zeros,0,L-NP rescale,post,80
20,-1.5999999999999996,-1.5799999999999996,signed_offdiag_with_zeros,0,L-NP rescale,post,80
21,-1.5799999999999996,-1.5599999999999996,signed_offdiag_with_zeros,0,L-NP rescale,post,80
22,-1.5599999999999996,-1.5399999999999996,signed_offdiag_with_zeros,0,L-NP rescale,post,80
23,-1.5399999999999996,-1.5199999999999996,signed_offdiag_with_zeros,0,L-NP rescale,post,80
24,-1.5199999999999996,-1.4999999999999996,signed_offdiag_with_zeros,0,L-NP rescale,post,80
25,-1.4999999999999996,-1.4799999999999995,signed_offdiag_with_zeros,0,L-NP rescale,post,80
26,-1.4799999999999995,-1.4599999999999995,signed_offdiag_with_zeros,0,L-NP rescale,post,80
27,-1.4599999999999995,-1.4399999999999995,signed_offdiag_with_zeros,0,L-NP rescale,post,80
28,-1.4399999999999995,-1.4199999999999995,signed_offdiag_with_zeros,0,L-NP rescale,post,80
29,-1.4199999999999995,-1.3999999999999995,signed_offdiag_with_zeros,0,L-NP rescale,post,80
30,-1.3999999999999995,-1.3799999999999994,signed_offdiag_with_zeros,0,L-NP rescale,post,80
31,-1.3799999999999994,-1.3599999999999994,signed_offdiag_with_zeros,0,L-NP rescale,post,80
32,-1.3599999999999994,-1.3399999999999994,signed_offdiag_with_zeros,0,L-NP rescale,post,80
33,-1.3399999999999994,-1.3199999999999994,signed_offdiag_with_zeros,0,L-NP rescale,post,80
34,-1.3199999999999994,-1.2999999999999994,signed_offdiag_with_zeros,0,L-NP rescale,post,80
35,-1.2999999999999994,-1.2799999999999994,signed_offdiag_with_zeros,0,L-NP rescale,post,80
36,-1.2799999999999994,-1.2599999999999993,signed_offdiag_with_zeros,0,L-NP rescale,post,80
37,-1.2599999999999993,-1.2399999999999993,signed_offdiag_with_zeros,0,L-NP rescale,post,80
38,-1.2399999999999993,-1.2199999999999993,signed_offdiag_with_zeros,0,L-NP rescale,post,80
39,-1.2199999999999993,-1.1999999999999993,signed_offdiag_with_zeros,0,L-NP rescale,post,80
40,-1.1999999999999993,-1.1799999999999993,signed_offdiag_with_zeros,0,L-NP rescale,post,80
41,-1.1799999999999993,-1.1599999999999993,signed_offdiag_with_zeros,0,L-NP rescale,post,80
42,-1.1599999999999993,-1.1399999999999992,signed_offdiag_with_zeros,0,L-NP rescale,post,80
43,-1.1399999999999992,-1.1199999999999992,signed_offdiag_with_zeros,0,L-NP rescale,post,80
44,-1.1199999999999992,-1.0999999999999992,signed_offdiag_with_zeros,0,L-NP rescale,post,80
45,-1.0999999999999992,-1.0799999999999992,signed_offdiag_with_zeros,0,L-NP rescale,post,80
